rowname,pt01,pt02,pt03,pt04,pt05,pt06,pt07,pt08,pt09,pt10
pt01,1.0130307731712394,-0.00797962799479623,0.00550745920844538,0.00309791524289469,0.00254342300708919,0.00145841067619057,-0.00131052547633365,-0.0101105483401211,-0.00471559748052941,-0.00156629050849608
pt02,-0.00797962799479623,0.9838129460320958,0.01036574697836486,-0.00810783365808658,-6.662152443571151e-4,-0.005190327774692,0.0036219992216302,-0.00374721873326996,-0.00607013025034352,0.00580463870561401
pt03,0.00550745920844538,0.01036574697836486,0.9858826792835512,-0.01319899213921161,-0.00943579410845603,-0.0069385494963990204,-0.02444990467692477,-0.0094789700701905,-0.01596269296908523,-0.01992097883298766
pt04,0.00309791524289469,-0.00810783365808658,-0.01319899213921161,0.9873464770578516,-0.00936732884275121,0.00314572570134331,-0.00592433082283064,-0.00706188259688288,-0.01103425602500823,-0.00938890614945075
pt05,0.00254342300708919,-6.662152443571151e-4,-0.00943579410845603,-0.00936732884275121,0.9963748209252266,-0.00226321818594358,-0.00841528492337798,-0.00511967851890824,-0.00188426178510321,-0.00695581980202883
pt06,0.00145841067619057,-0.005190327774692,-0.0069385494963990204,0.00314572570134331,-0.00226321818594358,0.9984671560031186,-0.00382801849659675,0.00410404642337348,-0.00636303908441451,-0.00791308623680623
pt07,-0.00131052547633365,0.0036219992216302,-0.02444990467692477,-0.00592433082283064,-0.00841528492337798,-0.00382801849659675,0.9850575932501572,-0.01631608768976193,-0.02340168820568458,-0.01594383101124327
pt08,-0.0101105483401211,-0.00374721873326996,-0.0094789700701905,-0.00706188259688288,-0.00511967851890824,0.00410404642337348,-0.01631608768976193,0.9899966130399988,-0.02062129443029027,-0.00997774886883985
pt09,-0.00471559748052941,-0.00607013025034352,-0.01596269296908523,-0.01103425602500823,-0.00188426178510321,-0.00636303908441451,-0.02340168820568458,-0.02062129443029027,0.9904415962764443,-0.0126669340386656
pt10,-0.00156629050849608,0.00580463870561401,-0.01992097883298766,-0.00938890614945075,-0.00695581980202883,-0.00791308623680623,-0.01594383101124327,-0.00997774886883985,-0.0126669340386656,0.9754680566168722
